banner_id,banner,country_iso,country_name,region,erp,cloud,procurement,confidence,raw_notes
28,CHEFS CULINAR,DE,Germany,Western EU + DACH,SAP S/4HANA,Unknown,Native,PROBABLE,🟠 PROBABLE (Gemini)
29,Real (legacy),DE,Germany,Western EU + DACH,SAP S/4HANA,GCP,Unknown,INFERRED,🟡 INFERRED (legacy ChatGPT)
30,E.Leclerc / GALEC,FR,France,Western EU,SAP S/4HANA,Azure,Ivalua,CONFIRMED,🟢 CONFIRMED
31,Carrefour Group (FR),FR,France,Western EU,SAP S/4HANA,GCP,Ariba,CONFIRMED,🟢 CONFIRMED (5-of-6)
32,"Carrefour banners (Market, City, Express, Hyper, Contact, Montagne, Drive, Bio, Supeco, Promocash, Ooshop, Greenweez, Pr",FR,France,Western EU,SAP S/4HANA,GCP,Ariba,INFERRED,🟢 INFERRED
33,Intermarché / Les Mousquetaires / STIME / Agromousquetaires,FR,France,Western EU,SAP S/4HANA,"Azure, GCP","Ariba, Ivalua",CONTESTED,🟠 CONTESTED
34,Auchan,FR,France,Western EU,SAP S/4HANA,GCP,Ivalua,CONFIRMED,🟠 CONTESTED ERP / 🟢 CONFIRMED cloud + procurement
35,Système U / U-GIE / U Iris,FR,France,Western EU,SAP S/4HANA,"GCP, AWS",Ivalua,CONTESTED,🟠 CONTESTED
36,Lidl France,FR,France,Western EU,SAP S/4HANA,STACKIT,Native,CONFIRMED,🟢 CONFIRMED (4-of-6)
37,Aldi France,FR,France,Western EU,SAP S/4HANA,Azure,Ariba,CONFIRMED,🟢 CONFIRMED (3-of-6)
38,Monoprix,FR,France,Western EU,SAP S/4HANA,AWS,"Ariba, Determine",CONFIRMED,🟠 PROBABLE ERP / 🟢 Determine Procurement deployment confirmed
39,Franprix,FR,France,Western EU,SAP S/4HANA,AWS,Ariba,INFERRED,🟢 INFERRED
40,Casino Supermarchés,FR,France,Western EU,SAP ECC,AWS,Ariba,CONTESTED,🟠 CONTESTED — transitioning
41,Géant Casino (legacy),FR,France,Western EU,SAP ECC,AWS,Native,INFERRED,🟡 INFERRED
42,"Petit Casino, Casino Shop, Casino Drive, Casino Express, Vival",FR,France,Western EU,SAP ECC,AWS,Native,INFERRED,🟡 INFERRED
43,Spar France,FR,France,Western EU,SAP via Casino (operator),AWS,Native,INFERRED,🟡 INFERRED
44,Monop' / Monoprix Express,FR,France,Western EU,SAP S/4HANA,AWS,Determine,INFERRED,🟡 INFERRED
45,Naturalia,FR,France,Western EU,SAP S/4HANA,AWS,Determine,INFERRED,🟢 INFERRED
46,Cora,FR,France,Western EU,SAP ECC,"GCP, On-prem","Ariba, Native",PROBABLE,🟠 PROBABLE — TRANSITIONING
47,Match,FR,France,Western EU,SAP ECC,"GCP, On-prem","Ariba, Native",PROBABLE,🟠 PROBABLE — TRANSITIONING
48,Leader Price (legacy → Aldi),FR,France,Western EU,SAP S/4HANA,Azure,Ariba,INFERRED,🟡 INFERRED
49,Picard,FR,France,Western EU,SAP S/4HANA,AWS,Native,CONFIRMED,🟢 CONFIRMED (Gemini Picard SAP case study + ChatGPT SAP Business One/Retail)
50,Grand Frais (Prosol),FR,France,Western EU,SAP S/4HANA,Unknown,"Native, Manual",PROBABLE,🟠 PROBABLE (Gemini IT job postings)
51,Thiriet,FR,France,Western EU,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
52,Fresh (Grand Frais sister),FR,France,Western EU,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
53,Pourdebon,FR,France,Western EU,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
54,Greenweez,FR,France,Western EU,SAP via Carrefour,GCP,Ariba,INFERRED,🟡 INFERRED
55,Bio c'Bon (Carrefour),FR,France,Western EU,SAP via Carrefour,GCP,Ariba,INFERRED,🟡 INFERRED
56,So.bio (Carrefour),FR,France,Western EU,SAP via Carrefour,GCP,Ariba,INFERRED,🟡 INFERRED
57,Biocoop,FR,France,Western EU,D365,Azure,Native,CONFIRMED,🟢 CONFIRMED (Gemini Biocoop D365 case study) — MAJOR NEW SIGNAL
58,La Vie Claire,FR,France,Western EU,SAP S/4HANA,Unknown,Unknown,PROBABLE,🟠 PROBABLE (Gemini IT modernization job postings)
59,Naturéo,FR,France,Western EU,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
60,L'Eau Vive,FR,France,Western EU,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
61,Bio Monde,FR,France,Western EU,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
62,Les Comptoirs de la Bio,FR,France,Western EU,SAP via Intermarché,GCP,Ariba,INFERRED,🟡 INFERRED
63,Coccinelle / CocciMarket,FR,France,Western EU,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
64,Sherpa,FR,France,Western EU,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
65,"Auchan banners (Auchan Drive, Auchan Piéton, Chronodrive, Simply Market)",FR,France,Western EU,SAP S/4HANA,GCP,Ivalua,INFERRED,🟡 INFERRED
66,Bi1 / Maximarché (Schiever),FR,France,Western EU,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
67,"Système U sub-banners (Hyper U, Super U, Marché U, U Utile, U Drive, U Express)",FR,France,Western EU,SAP S/4HANA,"GCP, AWS",Ivalua,INFERRED,🟡 INFERRED
68,"E.Leclerc sub-banners (Express, Relais, Drive)",FR,France,Western EU,SAP S/4HANA,Azure,Ivalua,INFERRED,🟡 INFERRED
69,"Intermarché sub-banners (Drive, Contact, Contact Marché)",FR,France,Western EU,SAP S/4HANA,GCP,Ariba,INFERRED,🟡 INFERRED
70,Netto FR,FR,France,Western EU,SAP S/4HANA,GCP,Ariba,INFERRED,🟢 INFERRED
71,Colruyt France,FR,France,Western EU,SAP via Colruyt Belgium,Hybrid,Native,PROBABLE,🟠 PROBABLE
72,Metro France,FR,France,Western EU,SAP S/4HANA,GCP,Ariba,CONFIRMED,🟢 CONFIRMED (Metro.digital case study)
73,Transgourmet France,FR,France,Western EU,SAP S/4HANA,Unknown,Ariba,CONFIRMED,"🟢 CONFIRMED (Gemini Transgourmet Group standard) — CONTRADICTS ChatGPT's ""Custom/proprietary"""
74,Action France,FR,France,Western EU,SAP S/4HANA,Azure,Ariba,CONFIRMED,🟢 CONFIRMED (Gemini Action Global IT Hub) — MAJOR NEW SIGNAL
75,Stokomani,FR,France,Western EU,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
76,Amazon Fresh France,FR,France,Western EU,Custom,AWS,Native,INFERRED,🟢 INFERRED
77,1. GALEC / E.Leclerc IS NOT DARK — IT'S IVALUA + SAP S/4HANA + Azure,FR,France,Western EU,,,,UNKNOWN,
78,2. IVALUA IS THE FRENCH PROCUREMENT CHAMPION,FR,France,Western EU,,,,UNKNOWN,
79,Gemini surfaces Ivalua as the dominant procurement platform for French grocery cooperatives:,FR,France,Western EU,,,,UNKNOWN,
80,E.Leclerc / GALEC — Ivalua confirmed,FR,France,Western EU,,,,UNKNOWN,
81,Intermarché / Agromousquetaires — Ivalua (Gemini) — contradicts ChatGPT's SAP Ariba,FR,France,Western EU,,,,UNKNOWN,
82,Auchan — Ivalua confirmed (Auchan/Ivalua press release),FR,France,Western EU,,,,UNKNOWN,
83,Système U / U-GIE — Ivalua probable,FR,France,Western EU,,,,UNKNOWN,
84,3. PROCUREMENT PLATFORM MAP (REVISED):,FR,France,Western EU,,,,UNKNOWN,
85,"Ivalua: E.Leclerc, Intermarché (likely), Auchan, Système U, Naturalia (via parent)",FR,France,Western EU,,,,UNKNOWN,
86,"SAP Ariba: Carrefour, Lidl (maybe), Aldi, Casino Group (Monoprix/Franprix), Metro France, Transgourmet",FR,France,Western EU,,,,UNKNOWN,
87,Determine Procurement (Corcentric): Monoprix-specific stack (parallel to Ariba),FR,France,Western EU,,,,UNKNOWN,
88,Native ERP: Lidl/STACKIT (Schwarz keeps procurement internal),FR,France,Western EU,,,,UNKNOWN,
89,4. CLOUD MAP (REVISED):,FR,France,Western EU,,,,UNKNOWN,
90,"GCP: Carrefour, Auchan, Intermarché/STIME, Metro France, Système U (U Iris), Système U sub-banners, Promocash, Greenweez",FR,France,Western EU,,,,UNKNOWN,
91,"Azure: E.Leclerc, Aldi, Action, Biocoop",FR,France,Western EU,,,,UNKNOWN,
92,"AWS: Casino Group (Monoprix, Franprix, Casino Supermarchés, Géant, Picard), Amazon Fresh",FR,France,Western EU,,,,UNKNOWN,
93,STACKIT: Lidl/Schwarz,FR,France,Western EU,,,,UNKNOWN,
94,"On-prem (transitioning): Cora, Match (post-Carrefour acquisition)",FR,France,Western EU,,,,UNKNOWN,
95,5. CASINO GROUP ERP IN FLUX — POST-EPEI/KRETINSKY ACQUISITION,FR,France,Western EU,,,,UNKNOWN,
96,Monoprix + Franprix remain on Casino's S/4HANA on AWS,FR,France,Western EU,,,,UNKNOWN,
97,Physical Casino Supermarchés / Géant sites sold to Intermarché and Auchan are migrating to Ivalua + Azure/GCP (buyer eco,FR,France,Western EU,,,,UNKNOWN,
98,Multi-ERP transitional state — flag for revisit in 12-18 months,FR,France,Western EU,,,,UNKNOWN,
99,6. BIOCOOP IS ON MICROSOFT DYNAMICS 365,FR,France,Western EU,,,,UNKNOWN,
100,First confirmed Microsoft D365 grocery customer in France. Biocoop case study. Distinct from the SAP-dominated competiti,FR,France,Western EU,,,,UNKNOWN,
101,7. ACTION FRANCE CONFIRMED ON SAP S/4HANA + AZURE,FR,France,Western EU,,,,UNKNOWN,
102,Earlier hallucination flag downgraded — Gemini surfaces Action Global IT Hub case as evidence. SAP S/4HANA 2023 + SAP Ar,FR,France,Western EU,,,,UNKNOWN,
103,8. HALLUCINATION SCORECARD (final),FR,France,Western EU,,,,UNKNOWN,
104,LLM,FR,France,Western EU,Confirmed,Probable,Inferred,UNKNOWN,Hallucinated
105,Gemini,FR,France,Western EU,18,8,6,UNKNOWN,~5 (Gulliver/Iperlando-style — appears clean for France)
106,ChatGPT,FR,France,Western EU,4,3,24,UNKNOWN,~3 (mostly conservative)
107,Copilot,FR,France,Western EU,1,,14,UNKNOWN,0 (extremely conservative)
108,Grok,FR,France,Western EU,,11,26,UNKNOWN,"0 (parent inferences, no false specificity)"
109,Mistral,FR,France,Western EU,6,8,30,UNKNOWN,"~15 (E.Leclerc Custom hallucination, blanket ECC for bio)"
110,Perplexity,FR,France,Western EU,9,,60,UNKNOWN,"~40 (blanket SAP S/4HANA, fake versions, wrong parents)"
111,9. SUMMARY: France grocery agentic-readiness,FR,France,Western EU,,,,UNKNOWN,
112,"Banner-count: 60 of 81 banners (74%) on agentic-ready stacks (SAP S/4HANA, Oracle Fusion, Microsoft D365)",FR,France,Western EU,,,,UNKNOWN,
113,"Revenue-weighted: Likely 90%+ — top 6 groups (E.Leclerc 22%, Carrefour 21%, Les Mousquetaires/Intermarché 16%, Auchan ~9",FR,France,Western EU,,,,UNKNOWN,
114,📊 FRANCE FINAL STATUS,FR,France,Western EU,,,,UNKNOWN,
115,81 banners assessed,FR,France,Western EU,,,,UNKNOWN,
116,🟢 Confirmed: 14 (17%),FR,France,Western EU,,,,UNKNOWN,
117,🟠 Probable: 13 (16%),FR,France,Western EU,,,,UNKNOWN,
118,🟡 Inferred from parent: 38 (47%),FR,France,Western EU,,,,UNKNOWN,
119,⚫ Unknown: 16 (20%),FR,France,Western EU,,,,UNKNOWN,
120,~80% of France banners now have at least an inferred attribution.,FR,France,Western EU,,,,UNKNOWN,
121,France ERP wave: COMPLETE.,FR,France,Western EU,,,,UNKNOWN,
122,Tesco,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,"OCI, Azure, AWS","Ariba, Coupa, GEP SMART",CONFIRMED,🟠 CONTESTED — GEP SMART confirmed live UK/IE PTP; Tesco is mid-migration. Most evidenced: GEP SMART procurement + transitional ERP
123,Tesco sub-banners (Extra/Express/Superstore/Metro/One Stop),GB,United Kingdom,Western EU + UK + IE,Per Tesco,Per Tesco,"GEP SMART, GEP",INFERRED,🟡 INFERRED
124,Sainsbury's,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,"GCP, AWS","Ariba, Coupa",CONFIRMED,"🟢 CONFIRMED (4-of-6 — 2024 SAP/Accenture/AWS partnership, The Register)"
125,Sainsbury's Superstore / Local,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,AWS,"Ariba, Coupa",INFERRED,🟡 INFERRED
126,Asda,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Azure,Ariba,CONFIRMED,"🟢 CONFIRMED (4-of-6 — post-Walmart greenfield, Project Future)"
127,Asda Supercentre / Superstore / Living,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Azure,Ariba,INFERRED,🟡 INFERRED
128,Morrisons,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,"OCI, AWS, On-prem","Ariba, Native",CONTESTED,🟠 CONTESTED — Oracle EBS Evolve programme is documented; Gemini's S/4HANA claim conflicts. Oracle EBS most evidenced
129,Morrisons sub-banners,GB,United Kingdom,Western EU + UK + IE,Per Morrisons,Per Morrisons,Native,INFERRED,🟡 INFERRED
130,Aldi UK,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Azure,Ariba,CONFIRMED,"🟢 CONFIRMED (Gemini, Aldi DX transformation) — extends Germany/France ANIK"
131,Lidl UK,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,STACKIT,Native,CONFIRMED,🟢 CONFIRMED (4-of-6 — Schwarz Group standard)
132,Co-op Food,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Azure,Ariba,CONFIRMED,🟢 CONFIRMED (Gemini Co-op IT Roadmap 2024 + Perplexity ECC migration)
133,Midcounties Co-operative,GB,United Kingdom,Western EU + UK + IE,Infor,Azure,Native,PROBABLE,🟠 PROBABLE (Gemini) — not on central Co-op SAP
134,Scotmid / Central England / Anglia Regional Co-op,GB,United Kingdom,Western EU + UK + IE,D365,Unknown,Native,PROBABLE,🟠 PROBABLE
135,Waitrose / John Lewis Partnership,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Google Cloud (Gemini),Coupa,CONFIRMED,🟢 CONFIRMED (Gemini JLP Digital Strategy + ChatGPT Coupa supplier portal)
136,Waitrose & Partners / Little Waitrose,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Google Cloud,Coupa,INFERRED,🟡 INFERRED
137,M&S Food,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Azure,"Ariba, Native",CONFIRMED,"🟠 CONTESTED — Gemini ""BE"" transformation says S/4HANA; Perplexity says D365 Commerce. Cloud Azure confirmed across all sources"
138,M&S Simply Food / Food Halls,GB,United Kingdom,Western EU + UK + IE,Per M&S,Azure,Per M&S,INFERRED,🟡 INFERRED
139,Iceland,GB,United Kingdom,Western EU + UK + IE,SAP ECC,Azure,"Manual, EDI",PROBABLE,🟠 PROBABLE (3-of-6 — ChatGPT D365 migration + Mistral SAP retail + Perplexity Dynamics AX)
140,The Food Warehouse,GB,United Kingdom,Western EU + UK + IE,D365,Azure,"Manual, EDI",INFERRED,🟡 INFERRED
141,Farmfoods,GB,United Kingdom,Western EU + UK + IE,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
142,Cook Trading,GB,United Kingdom,Western EU + UK + IE,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
143,Heron Foods,GB,United Kingdom,Western EU + UK + IE,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
144,B&M,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Unknown,Native,PROBABLE,🟠 PROBABLE (Gemini B&M Tech Recruitment)
145,Home Bargains (TJ Morris),GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Unknown,Native,PROBABLE,🟠 PROBABLE (Gemini TJ Morris IT)
146,Booths,GB,United Kingdom,Western EU + UK + IE,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
147,Poundland,GB,United Kingdom,Western EU + UK + IE,Oracle Fusion,Azure,Oracle Procurement,CONFIRMED,🟢 CONFIRMED (Gemini Pepco Group Oracle Rollout) — MAJOR NEW SIGNAL
148,Poundstretcher / One Below / Quality Save / The Range / Wilko / Savers,GB,United Kingdom,Western EU + UK + IE,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
149,Costco UK,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Google Cloud,Native,CONFIRMED,🟢 CONFIRMED (Gemini Costco Global SAP Strategy)
150,Makro UK,GB,United Kingdom,Western EU + UK + IE,Oracle Retail,Unknown,Unknown,INFERRED,🟡 INFERRED
151,Whole Foods Market UK,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,AWS,Coupa,CONFIRMED,🟢 CONFIRMED (Gemini Whole Foods Global Tech Stack)
152,Amazon Fresh UK,GB,United Kingdom,Western EU + UK + IE,Custom,AWS,Native,CONFIRMED,🟢 CONFIRMED
153,Ocado Retail,GB,United Kingdom,Western EU + UK + IE,Oracle Fusion,"GCP, AWS, Hybrid",Oracle Procure,CONFIRMED,🟢 CONFIRMED (Gemini Ocado Oracle Case Study)
154,Booker,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Azure,Coupa,INFERRED,🟡 INFERRED
155,Premier / Londis / Budgens,GB,United Kingdom,Western EU + UK + IE,Per Booker,Per Booker,Per Booker,INFERRED,🟡 INFERRED
156,Nisa,GB,United Kingdom,Western EU + UK + IE,SAP S/4HANA,Azure,Ariba,INFERRED,🟡 INFERRED
157,Costcutter,GB,United Kingdom,Western EU + UK + IE,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
158,Spar UK / EuroSpar UK,GB,United Kingdom,Western EU + UK + IE,Microsoft Dynamics 365 F&O (AF Blakemore / Henderson Group NI),Azure,Native,PROBABLE,🟠 PROBABLE (Gemini regional wholesaler signals)
159,Bestway,GB,United Kingdom,Western EU + UK + IE,SAP ECC,Unknown,Native,PROBABLE,🟠 PROBABLE (Gemini job listings)
160,Best-one,GB,United Kingdom,Western EU + UK + IE,Per Bestway,Per Bestway,Per Bestway,INFERRED,🟡 INFERRED
161,Mace,GB,United Kingdom,Western EU + UK + IE,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
162,Dhamecha / Parfetts / Go Local / Filshill / KeyStore,GB,United Kingdom,Western EU + UK + IE,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
163,Proudfoot / Jempson's / CK Foodstores,GB,United Kingdom,Western EU + UK + IE,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
164,Netto UK (legacy),GB,United Kingdom,Western EU + UK + IE,Legacy (Lidl-linked),Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
165,SuperValu NI / Centra NI,GB,United Kingdom,Western EU + UK + IE,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
166,ViVO NI,GB,United Kingdom,Western EU + UK + IE,Unknown,Unknown,Unknown,UNKNOWN,⚫ UNKNOWN
167,1. TIER 1 UK GROCERS — ERP MIGRATION CYCLE IN ACTIVE PROGRESS,GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
168,Tesco — RISE with SAP / S/4HANA migration + GEP SMART procurement (UK + IE all stores live),GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
169,Sainsbury's — RISE with SAP on AWS (2024 Accenture partnership),GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
170,"Asda — Project ""Future"" SAP S/4HANA on Azure (post-Walmart greenfield)",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
171,"Morrisons — Oracle EBS 12.2 (""Evolve programme"") on-premise / OCI; possible TDR-driven S/4HANA migration in flight (cont",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
172,Co-op Food — RISE with SAP migration on Azure,GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
173,"Waitrose / JLP — New SAP S/4HANA (post-2023, the source of the 2023 stock-availability disruption) on Google Cloud",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
174,"M&S Food — SAP S/4HANA ""Project BE"" on Azure (or D365 — contested)",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
175,Aldi UK — SAP S/4HANA via Aldi DX (project ANIK extension),GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
176,Lidl UK — SAP S/4HANA (eLWIS) via STACKIT (Schwarz sovereign cloud),GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
177,8 of 9 UK Tier 1 grocers on SAP S/4HANA. Morrisons is the Oracle outlier.,GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
178,2. CLOUD MAP — UK IS DOMINANTLY AZURE + AWS,GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
179,"Azure: Tesco (Gemini), Asda, Aldi UK, Co-op Food, M&S Food, Iceland, Poundland, Spar UK",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
180,"AWS: Sainsbury's, Morrisons (Gemini), Whole Foods, Amazon Fresh, Ocado",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
181,"Google Cloud: Waitrose / JLP, Costco UK",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
182,STACKIT: Lidl UK,GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
183,OCI / On-prem: Morrisons (legacy Evolve),GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
184,"UK is the most Azure-heavy grocery market in EU (Aldi + Asda + Co-op + M&S + Iceland), reflecting Microsoft's strong UK ",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
185,3. PROCUREMENT MAP — UK IS COUPA TERRITORY,GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
186,Coupa dominant for Tier 1 indirect procurement:,GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
187,"Tesco (Gemini, Coupa case study)",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
188,Sainsbury's (Gemini),GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
189,Waitrose / JLP (ChatGPT supplier portal + Gemini),GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
190,Whole Foods UK (Gemini),GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
191,SAP Ariba for direct/supply chain procurement:,GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
192,"Asda, Aldi UK, M&S Food, Co-op Food",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
193,"GEP SMART (Tesco PTP rollout, UK + IE all stores live):",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
194,Tesco / Booker / Londis / Budgens / Premier,GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
195,Oracle Procurement Cloud:,GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
196,"Poundland (Pepco), Ocado, Tesco-via-OCI (contested)",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
197,"Native: Lidl UK, Bestway, Spar UK, Costco UK",GB,United Kingdom,Western EU + UK + IE,,,,UNKNOWN,
